Timestamp,Device, avail, block, Cmode, dev_asset_chg, dev_asset_rem, estop, execution, line, mode, msg, power, program, tool_id
5/28/2016 15:06:22:390,VMC-3Axis, AVAILABLE, X-1.708233 Y-0.956924, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 28, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:22:609,VMC-3Axis, AVAILABLE, X-1.708233 Y-0.956924, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 28, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:22:812,VMC-3Axis, AVAILABLE, X-1.708233 Y-0.956924, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 28, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:23:019,VMC-3Axis, AVAILABLE, X-1.793399 Y-0.780806, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 29, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:23:222,VMC-3Axis, AVAILABLE, X-1.793399 Y-0.780806, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 29, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:23:421,VMC-3Axis, AVAILABLE, X-1.860485 Y-0.597253, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 30, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:23:632,VMC-3Axis, AVAILABLE, X-1.860485 Y-0.597253, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 30, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:23:832,VMC-3Axis, AVAILABLE, X-1.860485 Y-0.597253, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 30, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:24:039,VMC-3Axis, AVAILABLE, X-1.908861 Y-0.408112, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 31, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:24:246,VMC-3Axis, AVAILABLE, X-1.908861 Y-0.408112, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 31, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:24:460,VMC-3Axis, AVAILABLE, X-1.938080 Y-0.215284, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 32, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:24:664,VMC-3Axis, AVAILABLE, X-1.938080 Y-0.215284, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 32, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:24:890,VMC-3Axis, AVAILABLE, X-1.938080 Y-0.215284, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 32, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:25:097,VMC-3Axis, AVAILABLE, X-1.947890 Y-0.020702, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 33, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:25:324,VMC-3Axis, AVAILABLE, X-1.947890 Y-0.020702, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 33, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:25:531,VMC-3Axis, AVAILABLE, X-1.938233 Y0.173687, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 34, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:25:734,VMC-3Axis, AVAILABLE, X-1.938233 Y0.173687, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 34, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:26:03,VMC-3Axis, AVAILABLE, X-1.909246 Y0.365943, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 35, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:26:226,VMC-3Axis, AVAILABLE, X-1.909246 Y0.365943, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 35, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:26:437,VMC-3Axis, AVAILABLE, X-1.861258 Y0.554151, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 36, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:26:648,VMC-3Axis, AVAILABLE, X-1.861258 Y0.554151, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 36, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:26:855,VMC-3Axis, AVAILABLE, X-1.861258 Y0.554151, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 36, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:27:066,VMC-3Axis, AVAILABLE, X-1.794786 Y0.736439, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 37, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:27:281,VMC-3Axis, AVAILABLE, X-1.794786 Y0.736439, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 37, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:27:503,VMC-3Axis, AVAILABLE, X-1.710533 Y0.910999, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 38, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:27:710,VMC-3Axis, AVAILABLE, X-1.710533 Y0.910999, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 38, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:27:917,VMC-3Axis, AVAILABLE, X-1.609377 Y1.076105, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 39, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:28:125,VMC-3Axis, AVAILABLE, X-1.609377 Y1.076105, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 39, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:28:351,VMC-3Axis, AVAILABLE, X-1.609377 Y1.076105, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 39, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:28:554,VMC-3Axis, AVAILABLE, X-1.492362 Y1.230126, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 40, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:28:757,VMC-3Axis, AVAILABLE, X-1.492362 Y1.230126, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 40, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:28:976,VMC-3Axis, AVAILABLE, X-1.360690 Y1.371549, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 41, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:29:179,VMC-3Axis, AVAILABLE, X-1.360690 Y1.371549, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 41, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:29:386,VMC-3Axis, AVAILABLE, X-1.360690 Y1.371549, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 41, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:29:625,VMC-3Axis, AVAILABLE, X-1.215706 Y1.498986, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 42, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:29:867,VMC-3Axis, AVAILABLE, X-1.215706 Y1.498986, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 42, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:30:082,VMC-3Axis, AVAILABLE, X-1.058886 Y1.611194, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 43, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:30:347,VMC-3Axis, AVAILABLE, X-1.058886 Y1.611194, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 43, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:30:554,VMC-3Axis, AVAILABLE, X-0.891819 Y1.707084, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 44, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:30:753,VMC-3Axis, AVAILABLE, X-0.891819 Y1.707084, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 44, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:30:00,VMC-3Axis, AVAILABLE, X-0.716195 Y1.785733, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 45, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:31:226,VMC-3Axis, AVAILABLE, X-0.716195 Y1.785733, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 45, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:31:425,VMC-3Axis, AVAILABLE, X-0.533785 Y1.846390, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 46, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:31:625,VMC-3Axis, AVAILABLE, X-0.533785 Y1.846390, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 46, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:31:835,VMC-3Axis, AVAILABLE, X-0.533785 Y1.846390, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 46, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:32:113,VMC-3Axis, AVAILABLE, X-0.346426 Y1.888488, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 47, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:32:371,VMC-3Axis, AVAILABLE, X-0.346426 Y1.888488, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 47, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:32:601,VMC-3Axis, AVAILABLE, X-0.155999 Y1.911645, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 48, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:32:808,VMC-3Axis, AVAILABLE, X-0.155999 Y1.911645, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 48, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:33:015,VMC-3Axis, AVAILABLE, X0.035589 Y1.915669, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 49, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
