Timestamp,Device, avail, block, Cmode, dev_asset_chg, dev_asset_rem, estop, execution, line, mode, msg, power, program, tool_id
4/1/2016 13:36:27:140,VMC-3Axis, AVAILABLE, X-0.949667 Y-0.510115, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 468, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:27:375,VMC-3Axis, AVAILABLE, X-0.994001 Y-0.411992, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 469, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:27:613,VMC-3Axis, AVAILABLE, X-1.028251 Y-0.310122, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 470, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:27:863,VMC-3Axis, AVAILABLE, X-1.028251 Y-0.310122, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 470, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:28:109,VMC-3Axis, AVAILABLE, X-1.052112 Y-0.205535, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 471, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:28:347,VMC-3Axis, AVAILABLE, X-1.065384 Y-0.099287, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 472, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:28:593,VMC-3Axis, AVAILABLE, X-1.067973 Y0.007556, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 473, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:28:832,VMC-3Axis, AVAILABLE, X-1.059895 Y0.113924, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 474, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:29:066,VMC-3Axis, AVAILABLE, X-1.041269 Y0.218757, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 475, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:29:312,VMC-3Axis, AVAILABLE, X-1.012322 Y0.321013, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 476, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:29:554,VMC-3Axis, AVAILABLE, X-0.973380 Y0.419681, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 477, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:29:792,VMC-3Axis, AVAILABLE, X-0.973380 Y0.419681, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 477, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:30:031,VMC-3Axis, AVAILABLE, X-0.924870 Y0.513789, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 478, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:30:269,VMC-3Axis, AVAILABLE, X-0.867314 Y0.602414, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 479, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:30:523,VMC-3Axis, AVAILABLE, X-0.801319 Y0.684692, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 480, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:30:765,VMC-3Axis, AVAILABLE, X-0.727578 Y0.759825, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 481, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:30:976,VMC-3Axis, AVAILABLE, X-0.646855 Y0.827090, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 482, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:31:214,VMC-3Axis, AVAILABLE, X-0.559983 Y0.885846, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 483, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:31:453,VMC-3Axis, AVAILABLE, X-0.467854 Y0.935536, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 484, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:31:691,VMC-3Axis, AVAILABLE, X-0.371408 Y0.975701, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 485, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:31:941,VMC-3Axis, AVAILABLE, X-0.371408 Y0.975701, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 485, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:32:187,VMC-3Axis, AVAILABLE, X-0.271623 Y1.005975, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 486, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:32:425,VMC-3Axis, AVAILABLE, X-0.169510 Y1.026093, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 487, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:32:667,VMC-3Axis, AVAILABLE, X-0.066098 Y1.035893, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 488, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:32:906,VMC-3Axis, AVAILABLE, X0.037577 Y1.035318, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 489, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:33:140,VMC-3Axis, AVAILABLE, X0.140476 Y1.024413, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 490, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:33:375,VMC-3Axis, AVAILABLE, X0.241577 Y1.003327, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 491, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:33:613,VMC-3Axis, AVAILABLE, X0.339876 Y0.972309, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 492, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:33:871,VMC-3Axis, AVAILABLE, X0.434402 Y0.931708, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 493, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
